Zipcode,State,City,Lat,Long
18448,PA,OLYPHANT,41.45,-75.59
18577,PA,SCRANTON,41.4,-75.66
18762,PA,WILKES BARRE,41.24,-75.87
18764,PA,WILKES BARRE,41.24,-75.87
18765,PA,WILKES BARRE,41.24,-75.87
18766,PA,WILKES BARRE,41.24,-75.87
18767,PA,WILKES BARRE,41.24,-75.87
18769,PA,WILKES BARRE,41.24,-75.87
17705,PA,WILLIAMSPORT,41.23,-77.03
17415,PA,YORK,39.96,-76.73
19424,PA,BLUE BELL,40.14,-75.26
19339,PA,CONCORDVILLE,39.88,-75.52
19340,PA,CONCORDVILLE,39.88,-75.52
19429,PA,CONSHOHOCKEN,40.07,-75.3
19048,PA,FORT WASHINGTON,40.17,-74.91
19049,PA,FORT WASHINGTON,40.17,-74.91
19441,PA,HARLEYSVILLE,40.27,-75.38
19098,PA,HOLMES,39.9,-75.3
19091,PA,MEDIA,39.91,-75.38
19415,PA,EAGLEVILLE,40.12,-75.34
19455,PA,NORTH WALES,40.21,-75.27
19092,PA,PHILADELPHIA,39.95,-75.16
19093,PA,PHILADELPHIA,39.95,-75.16
19099,PA,PHILADELPHIA,39.95,-75.16
19161,PA,PHILADELPHIA,39.95,-75.16
19162,PA,PHILADELPHIA,39.95,-75.16
19170,PA,PHILADELPHIA,39.95,-75.16
19171,PA,PHILADELPHIA,39.95,-75.16
19172,PA,PHILADELPHIA,39.95,-75.16
19173,PA,PHILADELPHIA,39.95,-75.16
19175,PA,PHILADELPHIA,39.95,-75.16
19177,PA,PHILADELPHIA,39.95,-75.16
19178,PA,PHILADELPHIA,39.95,-75.16
19179,PA,PHILADELPHIA,39.95,-75.16
19181,PA,PHILADELPHIA,39.95,-75.16
19182,PA,PHILADELPHIA,39.95,-75.16
19183,PA,PHILADELPHIA,39.95,-75.16
19184,PA,PHILADELPHIA,39.95,-75.16
19185,PA,PHILADELPHIA,39.95,-75.16
19187,PA,PHILADELPHIA,39.95,-75.16
19188,PA,PHILADELPHIA,39.95,-75.16
19191,PA,PHILADELPHIA,39.95,-75.16
19192,PA,PHILADELPHIA,39.95,-75.16
19193,PA,PHILADELPHIA,39.95,-75.16
19194,PA,PHILADELPHIA,39.95,-75.18
19195,PA,PHILADELPHIA,39.95,-75.16
19196,PA,PHILADELPHIA,39.95,-75.16
19197,PA,PHILADELPHIA,39.95,-75.16
19244,PA,PHILADELPHIA,39.95,-75.16
19255,PA,PHILADELPHIA,39.95,-75.16
19493,PA,VALLEY FORGE,40.09,-75.47
19494,PA,VALLEY FORGE,40.09,-75.47
19495,PA,VALLEY FORGE,40.09,-75.47
19496,PA,VALLEY FORGE,40.09,-75.47
18991,PA,WARMINSTER,40.21,-75.07
19080,PA,WAYNE,40.06,-75.4
19088,PA,WAYNE,40.06,-75.4
19089,PA,WAYNE,40.06,-75.4
19383,PA,WEST CHESTER,39.95,-75.6
19388,PA,WEST CHESTER,39.96,-75.61
24061,VA,BLACKSBURG,37.23,-80.42
24205,VA,BRISTOL,36.59,-82.18
24513,VA,LYNCHBURG,37.4,-79.19
24514,VA,LYNCHBURG,37.4,-79.19
24515,VA,LYNCHBURG,37.4,-79.19
24040,VA,ROANOKE,37.27,-79.95
24042,VA,ROANOKE,37.27,-79.95
24043,VA,ROANOKE,37.27,-79.95
24050,VA,ROANOKE,37.27,-79.95
24155,VA,ROANOKE,37.29,-80.06
24157,VA,ROANOKE,37.28,-80.05
25317,WV,CHARLESTON,38.35,-81.63
25392,WV,CHARLESTON,38.35,-81.63
25396,WV,CHARLESTON,38.35,-81.63
26306,WV,CLARKSBURG,39.28,-80.33
25755,WV,HUNTINGTON,38.41,-82.43
26120,WV,MINERAL WELLS,39.17,-81.53
26121,WV,MINERAL WELLS,39.17,-81.53
26106,WV,PARKERSBURG,39.26,-81.54
25185,WV,MOUNT OLIVE,38.09,-81.26
37044,TN,CLARKSVILLE,36.56,-87.34
38505,TN,COOKEVILLE,36.15,-85.5
37669,TN,KINGSPORT,36.52,-82.55
37995,TN,KNOXVILLE,35.97,-83.94
37996,TN,KNOXVILLE,35.97,-83.94
37997,TN,KNOXVILLE,35.97,-83.94
37998,TN,KNOXVILLE,35.97,-83.94
37089,TN,LA VERGNE,35.99,-86.57
38238,TN,MARTIN,36.34,-88.85
37501,TN,MEMPHIS,35.1,-90
37544,TN,MEMPHIS,35.15,-90.05
38136,TN,MEMPHIS,35.1,-90
38145,TN,MEMPHIS,35.1,-90
38147,TN,MEMPHIS,35.1,-90
38148,TN,MEMPHIS,35.1,-90
38150,TN,MEMPHIS,35.1,-90
38151,TN,MEMPHIS,35.1,-90
38152,TN,MEMPHIS,35.1,-90
38159,TN,MEMPHIS,35.1,-90
38161,TN,MEMPHIS,35.1,-90
38163,TN,MEMPHIS,35.1,-90
38166,TN,MEMPHIS,35.1,-90
38188,TN,MEMPHIS,35.1,-90
38193,TN,MEMPHIS,35.1,-90
38194,TN,MEMPHIS,35.1,-90
38197,TN,MEMPHIS,35.1,-90
38055,TN,MILLINGTON,35.33,-89.88
37131,TN,MURFREESBORO,35.85,-86.39
37132,TN,MURFREESBORO,35.85,-86.39
37232,TN,NASHVILLE,36.17,-86.78
37234,TN,NASHVILLE,36.17,-86.78
37235,TN,NASHVILLE,36.17,-86.78
37236,TN,NASHVILLE,36.17,-86.78
37240,TN,NASHVILLE,36.17,-86.78
37241,TN,NASHVILLE,36.17,-86.78
37242,TN,NASHVILLE,36.17,-86.78
37243,TN,NASHVILLE,36.17,-86.78
37246,TN,NASHVILLE,36.17,-86.78
37250,TN,NASHVILLE,36.17,-86.78
37699,TN,PINEY FLATS,36.44,-82.34
37383,TN,SEWANEE,35.2,-85.92
37161,TN,SHELBYVILLE,35.49,-86.44
47721,IN,EVANSVILLE,37.98,-87.54
47722,IN,EVANSVILLE,37.98,-87.54
47740,IN,EVANSVILLE,37.98,-87.54
47747,IN,EVANSVILLE,37.98,-87.54
47750,IN,EVANSVILLE,37.98,-87.54
47132,IN,JEFFERSONVILLE,38.3,-85.72
47133,IN,JEFFERSONVILLE,38.3,-85.72
47134,IN,JEFFERSONVILLE,38.3,-85.72
47144,IN,JEFFERSONVILLE,38.3,-85.72
47199,IN,JEFFERSONVILLE,38.3,-85.72
41114,KY,ASHLAND,38.45,-82.64
40404,KY,BEREA,37.57,-84.29
40618,KY,FRANKFORT,38.19,-84.86
40619,KY,FRANKFORT,38.19,-84.86
40620,KY,FRANKFORT,38.19,-84.86
40621,KY,FRANKFORT,38.19,-84.86
40622,KY,FRANKFORT,38.19,-84.86
40032,KY,LA GRANGE,38.4,-85.37
40446,KY,LANCASTER,37.61,-84.57
40506,KY,LEXINGTON,38.04,-84.45
40526,KY,LEXINGTON,38.04,-84.45
40536,KY,LEXINGTON,38.04,-84.45
40546,KY,LEXINGTON,38.04,-84.45
40550,KY,LEXINGTON,38.04,-84.45
40598,KY,LEXINGTON,38.05,-84.5
40225,KY,LOUISVILLE,38.22,-85.74
40266,KY,LOUISVILLE,38.22,-85.74
40280,KY,LOUISVILLE,38.22,-85.74
40281,KY,LOUISVILLE,38.22,-85.74
40282,KY,LOUISVILLE,38.22,-85.74
40283,KY,LOUISVILLE,38.22,-85.74
40287,KY,LOUISVILLE,38.22,-85.74
40289,KY,LOUISVILLE,38.22,-85.74
40292,KY,LOUISVILLE,38.22,-85.74
40293,KY,LOUISVILLE,38.22,-85.74
40294,KY,LOUISVILLE,38.22,-85.74
40296,KY,LOUISVILLE,38.22,-85.74
40297,KY,LOUISVILLE,38.22,-85.74
40384,KY,VERSAILLES,38.05,-84.72
44315,OH,AKRON,41.08,-81.52
44316,OH,AKRON,41.08,-81.52
44317,OH,AKRON,41.08,-81.52
44325,OH,AKRON,41.08,-81.52
44326,OH,AKRON,41.08,-81.52
44328,OH,AKRON,41.08,-81.52
44396,OH,AKRON,41.08,-81.52
44398,OH,AKRON,41.08,-81.52
43403,OH,BOWLING GREEN,41.37,-83.64
44750,OH,CANTON,40.81,-81.37
44767,OH,CANTON,40.81,-81.37
44799,OH,CANTON,40.81,-81.37
44188,OH,CLEVELAND,41.47,-81.67
44190,OH,CLEVELAND,41.47,-81.67
44191,OH,CLEVELAND,41.47,-81.67
44192,OH,CLEVELAND,41.47,-81.67
44193,OH,CLEVELAND,41.47,-81.67
44194,OH,CLEVELAND,41.47,-81.67
44195,OH,CLEVELAND,41.47,-81.67
44197,OH,CLEVELAND,41.47,-81.67
44198,OH,CLEVELAND,41.47,-81.67
44237,OH,HUDSON,41.24,-81.45
44242,OH,KENT,41.14,-81.36
44073,OH,NOVELTY,41.47,-81.32
43652,OH,TOLEDO,41.66,-83.58
43654,OH,TOLEDO,41.66,-83.58
43656,OH,TOLEDO,41.66,-83.58
43657,OH,TOLEDO,41.66,-83.58
43659,OH,TOLEDO,41.66,-83.58
43660,OH,TOLEDO,41.66,-83.58
43661,OH,TOLEDO,41.66,-83.58
43666,OH,TOLEDO,41.66,-83.58
43667,OH,TOLEDO,41.66,-83.58
43681,OH,TOLEDO,41.66,-83.58
43682,OH,TOLEDO,41.66,-83.58
44486,OH,WARREN,41.23,-80.81
44488,OH,WARREN,41.23,-80.81
44888,OH,WILLARD,41.05,-82.72
44555,OH,YOUNGSTOWN,41.09,-80.64
41019,KY,COVINGTON,39.08,-84.5
41099,KY,NEWPORT,39.08,-84.48
45221,OH,CINCINNATI,39.09,-84.51
45263,OH,CINCINNATI,39.09,-84.51
45264,OH,CINCINNATI,39.09,-84.51
45267,OH,CINCINNATI,39.09,-84.51
45268,OH,CINCINNATI,39.09,-84.51
45269,OH,CINCINNATI,39.09,-84.51
45270,OH,CINCINNATI,39.09,-84.51
45271,OH,CINCINNATI,39.09,-84.51
45273,OH,CINCINNATI,39.09,-84.51
45274,OH,CINCINNATI,39.09,-84.51
45277,OH,CINCINNATI,39.09,-84.51
45296,OH,CINCINNATI,39.09,-84.51
45298,OH,CINCINNATI,39.09,-84.51
45299,OH,CINCINNATI,39.09,-84.51
45999,OH,CINCINNATI,39.09,-84.51
43251,OH,COLUMBUS,39.98,-82.98
43260,OH,COLUMBUS,39.98,-82.98
43266,OH,COLUMBUS,39.98,-82.98
43268,OH,COLUMBUS,39.98,-82.98
43270,OH,COLUMBUS,39.98,-82.98
43271,OH,COLUMBUS,39.98,-82.98
43272,OH,COLUMBUS,39.98,-82.98
43279,OH,COLUMBUS,39.98,-82.98
43287,OH,COLUMBUS,39.98,-82.98
43291,OH,COLUMBUS,39.98,-82.98
45412,OH,DAYTON,39.77,-84.19
